,Index,Time Serie,AUSTRALIA - AUSTRALIAN DOLLAR/US$,NEW ZEALAND - NEW ZELAND DOLLAR/US$
152,152,2000-08-02,1.7153,2.2017
153,153,2000-08-03,1.7112,2.1988
154,154,2000-08-04,1.7147,2.2002
155,155,2000-08-07,1.7059,2.2017
156,156,2000-08-08,1.7042,2.2036
157,157,2000-08-09,1.7283,2.2168
158,158,2000-08-10,1.7188,2.2134
159,159,2000-08-11,1.7256,2.2292
160,160,2000-08-14,1.7212,2.2188
161,161,2000-08-15,1.715,2.2306
162,162,2000-08-16,1.6958,2.2173
163,163,2000-08-17,1.6849,2.2075
164,164,2000-08-18,1.6935,2.2232
165,165,2000-08-21,1.6978,2.2222
166,166,2000-08-22,1.7235,2.2548
167,167,2000-08-23,1.7519,2.3348
168,168,2000-08-24,1.7467,2.3052
169,169,2000-08-25,1.7431,2.2952
170,170,2000-08-28,1.7498,2.3041
171,171,2000-08-29,1.7504,2.3283
172,172,2000-08-30,1.7483,2.3436
173,173,2000-08-31,1.7349,2.343
174,174,2000-09-01,1.7346,2.3348
176,176,2000-09-05,1.7547,2.3463
177,177,2000-09-06,1.7683,2.3529
178,178,2000-09-07,1.7924,2.3969
179,179,2000-09-08,1.7995,2.3889
180,180,2000-09-11,1.7889,2.331
181,181,2000-09-12,1.7902,2.3463
182,182,2000-09-13,1.8018,2.3697
183,183,2000-09-14,1.8215,2.3635
184,184,2000-09-15,1.8349,2.3923
185,185,2000-09-18,1.8459999999999999,2.4319
186,186,2000-09-19,1.845,2.4213
187,187,2000-09-20,1.8615,2.471
188,188,2000-09-21,1.8423,2.4631
189,189,2000-09-22,1.8332,2.4301
190,190,2000-09-25,1.8215,2.4325
191,191,2000-09-26,1.8162,2.4143
192,192,2000-09-27,1.8149,2.4114
193,193,2000-09-28,1.8215,2.4155
194,194,2000-09-29,1.8467,2.454
195,195,2000-10-02,1.8349,2.4783
196,196,2000-10-03,1.8519,2.471
197,197,2000-10-04,1.8639,2.4814
198,198,2000-10-05,1.8692,2.4938
199,199,2000-10-06,1.8730000000000002,2.4876
201,201,2000-10-10,1.8730000000000002,2.4802
202,202,2000-10-11,1.8657,2.4624
203,203,2000-10-12,1.8797,2.5138
204,204,2000-10-13,1.8879,2.5113
205,205,2000-10-16,1.912,2.5316
206,206,2000-10-17,1.9275,2.54
207,207,2000-10-18,1.9279,2.551
208,208,2000-10-19,1.9194,2.5349
209,209,2000-10-20,1.8939,2.495
210,210,2000-10-23,1.8961,2.4907
211,211,2000-10-24,1.9026,2.4832
212,212,2000-10-25,1.9264,2.5013
213,213,2000-10-26,1.9286,2.5
214,214,2000-10-27,1.9109,2.4845
215,215,2000-10-30,1.9102,2.4783
216,216,2000-10-31,1.9301,2.524
217,217,2000-11-01,1.9131,2.5284
218,218,2000-11-02,1.9201,2.5368
219,219,2000-11-03,1.9051,2.5253
220,220,2000-11-06,1.8939,2.5044
221,221,2000-11-07,1.8939,2.5094
222,222,2000-11-08,1.8997,2.5157
223,223,2000-11-09,1.9040000000000001,2.5031
224,224,2000-11-10,1.9157,2.5189
225,225,2000-11-13,1.9212,2.5265
226,226,2000-11-14,1.9268,2.5265
227,227,2000-11-15,1.922,2.5094
228,228,2000-11-16,1.9294,2.5189
229,229,2000-11-17,1.9268,2.4969
230,230,2000-11-20,1.9478,2.5176
231,231,2000-11-21,1.9562,2.5432
232,232,2000-11-22,1.9253,2.5044
234,234,2000-11-24,1.9175,2.5044
235,235,2000-11-27,1.9008,2.4631
236,236,2000-11-28,1.9146,2.4649
237,237,2000-11-29,1.9128,2.474
238,238,2000-11-30,1.9004,2.4438
239,239,2000-12-01,1.8615,2.4096
240,240,2000-12-04,1.8413,2.3719
241,241,2000-12-05,1.8501,2.3759
242,242,2000-12-06,1.8355,2.3529
243,243,2000-12-07,1.8282,2.3408
244,244,2000-12-08,1.8365,2.3397
245,245,2000-12-11,1.8519,2.3657
246,246,2000-12-12,1.845,2.373
247,247,2000-12-13,1.8587,2.3781
248,248,2000-12-14,1.8529,2.3747
249,249,2000-12-15,1.8322,2.3369999999999997
250,250,2000-12-18,1.8464,2.3202
251,251,2000-12-19,1.8399,2.3299
252,252,2000-12-20,1.8212,2.2957
253,253,2000-12-21,1.8073,2.281
254,254,2000-12-22,1.8018,2.2701
256,256,2000-12-26,1.7895,2.2624
257,257,2000-12-27,1.7889,2.2548
258,258,2000-12-28,1.8109,2.2738
259,259,2000-12-29,1.7986,2.2609
261,261,2001-01-02,1.7883,2.2563
262,262,2001-01-03,1.7746,2.2406
263,263,2001-01-04,1.7683,2.2437
264,264,2001-01-05,1.7507,2.2134
265,265,2001-01-08,1.7668,2.2198
266,266,2001-01-09,1.7768,2.2346
267,267,2001-01-10,1.7947,2.2487
268,268,2001-01-11,1.7873,2.2247
269,269,2001-01-12,1.7995,2.2462
271,271,2001-01-16,1.8021,2.2472
272,272,2001-01-17,1.8136,2.2523
273,273,2001-01-18,1.7979,2.2361
274,274,2001-01-19,1.7953,2.2311
275,275,2001-01-22,1.8038,2.2386
276,276,2001-01-23,1.8090000000000002,2.2442
277,277,2001-01-24,1.8352,2.2769
278,278,2001-01-25,1.8345,2.3015
279,279,2001-01-26,1.8409,2.2967
280,280,2001-01-29,1.8409,2.3041
281,281,2001-01-30,1.8268,2.2676
282,282,2001-01-31,1.8248,2.2599
283,283,2001-02-01,1.8051,2.2336
284,284,2001-02-02,1.8113,2.2472
285,285,2001-02-05,1.8155,2.2614
286,286,2001-02-06,1.8215,2.2568
287,287,2001-02-07,1.8308,2.2543
288,288,2001-02-08,1.8653,2.3036
289,289,2001-02-09,1.8632,2.2805
290,290,2001-02-12,1.8584,2.2915
291,291,2001-02-13,1.8737,2.3041
292,292,2001-02-14,1.8932,2.3326
293,293,2001-02-15,1.9084,2.3529
294,294,2001-02-16,1.885,2.324
296,296,2001-02-20,1.9142,2.3375
297,297,2001-02-21,1.9106,2.3283
298,298,2001-02-22,1.9062,2.3245
299,299,2001-02-23,1.9164,2.3229
300,300,2001-02-26,1.9183,2.3414
301,301,2001-02-27,1.9099,2.3159
302,302,2001-02-28,1.9055,2.324
303,303,2001-03-01,1.9004,2.3095
304,304,2001-03-02,1.8896,2.2857
305,305,2001-03-05,1.9164,2.3111
306,306,2001-03-06,1.9342,2.3213
307,307,2001-03-07,1.9646,2.3641
308,308,2001-03-08,1.965,2.3753
309,309,2001-03-09,1.9666,2.3838
310,310,2001-03-12,1.9623,2.3787
311,311,2001-03-13,1.9877,2.4056
312,312,2001-03-14,2.0076,2.4027
313,313,2001-03-15,2.0227,2.4278
314,314,2001-03-16,2.0243,2.4184
315,315,2001-03-19,2.0064,2.3923
316,316,2001-03-20,2.0012,2.3912
